Name,Address,Suburb,Postcode,State,Business Category,LGA,Region
Altona Life Saving Club,127 Esplanade,Altona,3018,VIC,Life Saving Club,Hobsons Bay (C),North and West Metropolitan Region
Anglesea Surf Life Saving Club,Great Ocean Road,Anglesea,3230,VIC,Life Saving Club,Surf Coast (S),Barwon South Western Region
Apollo Bay Surf Life Saving Club,Collingwood Street,Apollo Bay,3233,VIC,Life Saving Club,Colac-Otway (S),Barwon South Western Region
Aspendale Life Saving Club,Groves Street,Aspendale,3195,VIC,Life Saving Club,Kingston (C),Southern Metro
Bancoora Surf Life Saving Club,Breamlea Road,Breamlea,3227,VIC,Life Saving Club,Greater Geelong (C),Barwon South Western Region
Barwon Heads 13th Beach Surf Life Saving Club,Beach Road,Barwon Heads,3227,VIC,Life Saving Club,Greater Geelong (C),Barwon South Western Region
Beaumaris Life Saving Club,Beach Road,Beaumaris,3193,VIC,Life Saving Club,Bayside (C),Southern Metropolitan Region
Black Rock Life Saving Club,Beach Road,Black Rock,3193,VIC,Life Saving Club,Bayside (C),Southern Metropolitan Region
Bonbeach Life Saving Club,Beach Reserve,Bonbeach,3196,VIC,Life Saving Club,Kingston (C),Southern Metropolitan Region
Brighton Life Saving Club,The Esplanade,Brighton,3186,VIC,Life Saving Club,Bayside (C),Southern Metropolitan Region
Cape Paterson Surf Life Saving Club,Surf Beach Road,Cape Paterson,3124,VIC,Life Saving Club,Bass Coast (S),Gippsland Region
Carrum Life Saving Club,"Foreshore, Johnsons Park",Carrum,3197,VIC,Life Saving Club,Kingston (C),Southern Metropolitan Region
Chelsea Longbeach Life Saving Club,The Strand,Chelsea,3196,VIC,Life Saving Club,Kingston (C),Southern Metropolitan Region
Dromana Bay Life Saving Club,Point Nepean Road,Dromana,3936,VIC,Life Saving Club,Mornington Peninsula (S),Southern Metropolitan Region
Edithvale Life Saving Club,The Esplanade,Edithvale,3196,VIC,Life Saving Club,Kingston (C),Southern Metropolitan Region
Elwood Life Saving Club,Elwood Foreshore,Elwood,3184,VIC,Life Saving Club,Port Phillip (C),Southern Metropolitan Region
Fairhaven Surf Life Saving Club,Cnr Great Ocean Road & Yaringa Road,Fairhaven,3231,VIC,Life Saving Club,Surf Coast (S),Barwon South Western Region
Frankston Life Saving Club,Wells Street,Frankston,3199,VIC,Life Saving Club,Frankston (C),Southern Metropolitan Region
Gunnamatta Surf Life Saving Club,Truemans Road,Fingal,3939,VIC,Life Saving Club,Mornington Peninsula (S),Southern Metropolitan Region
Half Moon Bay Surf Life Saving Club,Half Moon Bay,Black Rock,3193,VIC,Life Saving Club,Bayside (C),Southern Metropolitan Region
Hampton Life Saving Club,Beach Road,Hampton,3188,VIC,Life Saving Club,Bayside (C),Southern Metropolitan Region
Inverloch Surf Life Saving Club,Surf Parade,Inverloch,3996,VIC,Life Saving Club,Bass Coast (S),Gippsland Region
Jan Juc Surf Life Saving Club,Surf Club Road,Jan Juc,3228,VIC,Life Saving Club,Surf Coast (S),Barwon South Western Region
Kennett River Surf Life Saving Club,Great Ocean Road,Kennett River,3221,VIC,Life Saving Club,Colac-Otway (S),Barwon South Western Region
Lakes Entrance Surf Life Saving Club,The Esplanade,Lakes Entrance,3909,VIC,Life Saving Club,East Gippsland (S),Gippsland Region
Lorne Surf Life Saving Club,Mountjoy Parade,Lorne,3232,VIC,Life Saving Club,Surf Coast (S),Barwon South Western Region
Mallacoota Surf Life Saving Club,Lees Road,Mallacoota,3892,VIC,Life Saving Club,East Gippsland (S),Gippsland Region
Mentone Life Saving Club,Beach Road,Mentone,3194,VIC,Life Saving Club,Kingston (C); Bayside (C),Southern Metropolitan Region
Mordialloc Life Saving Club,Beach Road,Mordialloc,3195,VIC,Life Saving Club,Kingston (C),Southern Metropolitan Region
Mornington Life Saving Club,Esplanade,Mornington,3931,VIC,Life Saving Club,Mornington Peninsula (S),Southern Metropolitan Region
Mount Martha Life Saving Club,The Esplanade,Mount Martha,3934,VIC,Life Saving Club,Mornington Peninsula (S),Southern Metropolitan Region
Ocean Grove Surf Life Saving Club,Surf Beach Road,Ocean Grove,3226,VIC,Life Saving Club,Greater Geelong (C),Barwon South Western Region
Point Leo Surf Life Saving Club,Western Parade,Point Leo,3916,VIC,Life Saving Club,Mornington Peninsula (S),Southern Metropolitan Region
Point Lonsdale Surf Life Saving Club,54 Ocean Road,Point Lonsdale,3225,VIC,Life Saving Club,Queenscliffe (B); Greater Geelong (C),Barwon South Western Region
Port Campbell Surf Life Saving Club,Lord Street,Port Campbell,3269,VIC,Life Saving Club,Colac-Otway (S); Corangamite (S),Barwon South Western Region
Port Fairy Surf Life Saving Club,Beach Street,Port Fairy,3284,VIC,Life Saving Club,Moyne (S),Barwon South Western Region
Port Melbourne Life Saving Club,Beaconsfield Parade,Port Melbourne,3207,VIC,Life Saving Club,Port Phillip (C); Melbourne (C),Southern Metropolitan Region; North and West Metropolitan Region
Portland Surf Life Saving Club,Bridgewater Road,Bridgewater Bay,3305,VIC,Life Saving Club,Glenelg (S),Barwon South Western Region
Portsea Surf Life Saving Club,Back Beach Road,Portsea,3944,VIC,Life Saving Club,Mornington Peninsula (S),Southern Metropolitan Region
Rosebud Life Saving Club,Point Nepean Road,McCrae,3938,VIC,Life Saving Club,Mornington Peninsula (S),Southern Metropolitan Region
Sandridge Life Saving Club,240 The Boulevard,Port Melbourne,3207,VIC,Life Saving Club,Port Phillip (C); Melbourne (C),Southern Metropolitan Region; North and West Metropolitan Region
Sandringham Life Saving Club,Beach Road,Sandringham,3191,VIC,Life Saving Club,Bayside (C),Southern Metropolitan Region
Seaford Life Saving Club,Station Street,Seaford,3198,VIC,Life Saving Club,Frankston (C),Southern Metropolitan Region
Seaspray Surf Life Saving Club,Foreshore Road,Seaspray,3851,VIC,Life Saving Club,Wellington (S),Gippsland Region
Sorrento Surf Life Saving Club,Ocean Beach Road,Sorrento,3943,VIC,Life Saving Club,Mornington Peninsula (S),Southern Metropolitan Region
South Melbourne Surf Life Saving Club,Beaconsfield Parade,Albert Park,3206,VIC,Life Saving Club,Port Phillip (C),Southern Metropolitan Region
St Kilda Life Saving Club,Jacka Boulevard,St Kilda,3182,VIC,Life Saving Club,Port Phillip (C),Southern Metro
Torquay Surf Life Saving Club,Davidson Drive,Torquay,3228,VIC,Life Saving Club,Surf Coast (S),Barwon South Western Region
Venus Bay Surf Life Saving Club,Surf Drive,Venus Bay,3956,VIC,Life Saving Club,South Gippsland (S),Gippsland Region
Waratah Beach Surf Life Saving Club,Foreshore,Sandy Point,3959,VIC,Life Saving Club,South Gippsland (S),Gippsland Region
Warrnambool Surf Life Saving Club,Pertobe Road,Warrnambool,3280,VIC,Life Saving Club,Warrnambool (C),Barwon South Western Region
Williamstown Surf Life Saving Club,The Esplanade,Williamstown,3016,VIC,Life Saving Club,Hobsons Bay (C),North and West Metropolitan Region
Wonthaggi Life Saving Club,Surf Beach Road,Cape Paterson,3995,VIC,Life Saving Club,Bass Coast (S),Gippsland Region
Woodside Surf Life Saving Club,Ben Rendell Drive,Woodside Beach,3874,VIC,Life Saving Club,Wellington (S),Gippsland Region
Woolamai Beach Surf Life Saving Club,Woolamai Beach Road,Cape Woolamai,3925,VIC,Life Saving Club,Bass Coast (S),Gippsland Region
Wye River Surf Life Saving Club,Great Ocean Road,Wye River,3221,VIC,Life Saving Club,Colac-Otway (S),Barwon South Western Region
